stage_id,ranking,rider_time,rider_name,rider_country,rider_team,rider_age
16,52,19647,Tobias Ludvigsson,Sweden,Groupama-FDJ,27
16,53,19647,Lilian Calmejane,France,Direct Énergie,25
16,54,19647,Thomas Degand,Belgium,Wanty-Groupe Gobert,32
16,55,19647,Nicolas Edet,France,Cofidis,30
16,56,19647,Sylvain Chavanel,France,Direct Énergie,39
16,57,19647,Laurens Ten Dam,Netherlands,Team Sunweb,37
16,58,19647,Jesper Hansen,Denmark,Astana,27
16,59,19647,Darwin Atapuma,Colombia,UAE Team Emirates,30
16,60,19647,Marco Minnaard,Netherlands,Wanty-Groupe Gobert,29
16,61,19797,Omar Fraile,Spain,Astana,27
16,62,19839,Jonathan Castroviejo,Spain,Team Sky,31
16,63,19839,Silvan Dillier,Switzerland,AG2R La Mondiale,27
16,64,19929,Pavel Kochetkov,Russia,Team Katusha-Alpecin,32
16,65,19947,Edward Theuns,Belgium,Team Sunweb,27
16,66,19947,Romain Hardy,France,Fortuneo-Samsic,29
16,67,19947,Koen De Kort,Netherlands,Trek-Segafredo,35
16,68,19947,Jasper Stuyven,Belgium,Trek-Segafredo,26
16,69,19947,Oliver Naesen,Belgium,AG2R La Mondiale,27
16,70,19947,Simon Clarke,Australia,EF Education First-Drapac p/b Cannondale,31
16,71,19947,Daniel Felipe Martínez,Colombia,EF Education First-Drapac p/b Cannondale,22
16,72,19947,Franco Pellizotti,Italy,Bahrain-Merida,40
16,73,19947,Maxime Bouet,France,Fortuneo-Samsic,31
16,74,19947,Laurent Pichon,France,Fortuneo-Samsic,31
16,75,19947,Rafal Majka,Poland,Bora-Hansgrohe,28
16,76,19947,Simon Gerrans,Australia,BMC Racing Team,38
16,77,19947,Michael Schär,Switzerland,BMC Racing Team,31
16,78,19947,Chad Haga,United States,Team Sunweb,29
16,79,19947,Paul Martens,Germany,LottoNL-Jumbo,34
16,80,19947,Magnus Cort Nielsen,Denmark,Astana,25
16,81,19947,Kevin Ledanois,France,Fortuneo-Samsic,24
16,82,19947,Yves Lampaert,Belgium,Quick-Step Floors,27
16,83,19947,Edvald Boasson Hagen,Norway,Team Dimension Data,31
16,84,19947,Rory Sutherland,Australia,UAE Team Emirates,36
16,85,19947,Élie Gesbert,France,Fortuneo-Samsic,23
16,86,20041,Nils Politt,Germany,Team Katusha-Alpecin,24
16,87,20057,Daryl Impey,South Africa,Mitchelton-Scott,31
16,88,20057,Mathew Hayman,Australia,Mitchelton-Scott,40
16,89,20139,Marcus Burghardt,Germany,Bora-Hansgrohe,35
16,90,20139,Imanol Erviti,Spain,Movistar Team,34
16,91,20139,Daniele Bennati,Italy,Movistar Team,37
16,92,20211,Arthur Vichot,France,Groupama-FDJ,29
16,93,20211,Thomas Boudat,France,Direct Énergie,24
16,94,20211,David Gaudu,France,Groupama-FDJ,21
16,95,20211,Stefan Küng,Switzerland,BMC Racing Team,24
16,96,20214,Christophe Laporte,France,Cofidis,25
16,97,20336,Amund Grøndahl Jansen ,Norway,LottoNL-Jumbo,24
16,98,20649,Andrea Pasqualon,Italy,Wanty-Groupe Gobert,30
16,99,20649,Michael Hepburn,Australia,Mitchelton-Scott,26
16,100,20649,Nikias Arndt,Germany,Team Sunweb,26
16,101,20649,Timothy Dupont,Belgium,Wanty-Groupe Gobert,30
16,102,20649,Guillaume Van Keirsbulck,Belgium,Wanty-Groupe Gobert,27
16,103,20649,Ramon Sinkeldam,Netherlands,Groupama-FDJ,29
16,104,20649,Niki Terpstra,Netherlands,Quick-Step Floors,34
16,105,20649,Yoann Offredo,France,Wanty-Groupe Gobert,31
16,106,20649,Jasper De Buyst,Belgium,Lotto-Soudal,24
16,107,20649,Marco Marcato,Italy,UAE Team Emirates,34
16,108,20649,Tomasz Marczynski,Poland,Lotto-Soudal,34
16,109,20649,Anthony Turgis,France,Cofidis,24
16,110,20649,Fabien Grellier,France,Direct Énergie,23
16,111,20649,Lukas Pöstlberger,Austria,Bora-Hansgrohe,26
16,112,20649,Oliviero Troia,Italy,UAE Team Emirates,23
16,113,20649,Pawel Poljanski,Poland,Bora-Hansgrohe,28
16,114,20649,Reinardt Janse Van Rensburg,South Africa,Team Dimension Data,29
16,115,20649,John Degenkolb,Germany,Trek-Segafredo,29
16,116,20649,Taylor Phinney,United States,EF Education First-Drapac p/b Cannondale,28
16,117,20649,Sonny Colbrelli,Italy,Bahrain-Merida,28
16,118,20649,Florian Vachon,France,Fortuneo-Samsic,33
16,119,20649,Toms Skujins,Latvia,Trek-Segafredo,27
16,120,20649,Alexander Kristoff,Norway,UAE Team Emirates,31
16,121,20649,Timo Roosen,Netherlands,LottoNL-Jumbo,25
16,122,20649,Jacopo Guarnieri,Italy,Groupama-FDJ,30
16,123,20649,Maximiliano Richeze,Argentina,Quick-Step Floors,35
16,124,20649,Kristijan Koren,Slovenia,Bahrain-Merida,31
16,125,20649,Luke Durbridge,Australia,Mitchelton-Scott,27
16,126,20649,Jack Bauer,New Zealand,Mitchelton-Scott,33
16,127,20649,Daniel Oss,Italy,Bora-Hansgrohe,31
16,128,20649,Dion Smith,New Zealand,Wanty-Groupe Gobert,25
16,129,20649,Jay Thomson,South Africa,Team Dimension Data,32
16,130,20649,Tom Scully,New Zealand,EF Education First-Drapac p/b Cannondale,28
16,131,20649,Olivier Le Gac,France,Groupama-FDJ,24
16,132,20649,Romain Sicard,France,Direct Énergie,30
16,133,20649,Dimitri Claeys,Belgium,Cofidis,31
16,134,20649,Heinrich Haussler,Australia,Bahrain-Merida,34
16,135,20649,Luke Rowe,Great Britain,Team Sky,28
16,136,20649,Maciej Bodnar,Poland,Bora-Hansgrohe,33
16,137,20649,Jérôme Cousin,France,Direct Énergie,29
16,138,20649,Peter Sagan,Slovakia,Bora-Hansgrohe,28
16,139,20649,Michael Gogl,Austria,Trek-Segafredo,24
16,140,20649,Roberto Ferrari,Italy,UAE Team Emirates,35
16,141,20649,Damien Gaudin,France,Direct Énergie,31
16,142,20673,Philippe Gilbert,Belgium,Quick-Step Floors,36
16,143,20675,Sep Vanmarcke,Belgium,EF Education First-Drapac p/b Cannondale,29
16,144,20675,Lawson Craddock,United States,EF Education First-Drapac p/b Cannondale,26
16,145,20688,Anthony Perez,France,Cofidis,27
16,146,20688,Julien Simon,France,Cofidis,32
16,147,21282,Arnaud Démare,France,Groupama-FDJ,26
17,1,8487,Nairo Quintana,Colombia,Movistar Team,28
17,2,8515,Daniel Martin,Ireland,UAE Team Emirates,31
17,3,8534,Geraint Thomas,Great Britain,Team Sky,32
17,4,8539,Primoz Roglic,Slovenia,LottoNL-Jumbo,28
17,5,8539,Tom Dumoulin,Netherlands,Team Sunweb,27
17,6,8552,Steven Kruijswijk,Netherlands,LottoNL-Jumbo,31
17,7,8580,Egan Bernal,Colombia,Team Sky,21
17,8,8582,Chris Froome,Great Britain,Team Sky,33
17,9,8582,Mikel Landa,Spain,Movistar Team,28
17,10,8608,Ilnur Zakarin,Russia,Team Katusha-Alpecin,28
17,11,8627,Rafal Majka,Poland,Bora-Hansgrohe,28
17,12,8639,Alejandro Valverde,Spain,Movistar Team,38
17,13,8642,Romain Bardet,France,AG2R La Mondiale,27
17,14,8690,David Gaudu,France,Groupama-FDJ,21
17,15,8727,Jakob Fuglsang,Denmark,Astana,33
17,16,8742,Warren Barguil,France,Fortuneo-Samsic,26
17,17,8797,Bob Jungels,Luxembourg,Quick-Step Floors,25
17,18,8797,Jesper Hansen,Denmark,Astana,27
17,19,8799,Wout Poels,Netherlands,Team Sky,30
17,20,8825,Tanel Kangert,Estonia,Astana,31
17,21,8847,Antwan Tolhoek,Netherlands,LottoNL-Jumbo,24
17,22,8858,Franco Pellizotti,Italy,Bahrain-Merida,40
17,23,8899,Pierre Latour,France,AG2R La Mondiale,24
17,24,8979,Nicolas Edet,France,Cofidis,30
17,25,9035,Daniel Felipe Martínez,Colombia,EF Education First-Drapac p/b Cannondale,22
17,26,9035,Kristijan Ðurasek,Croatia,UAE Team Emirates,30
17,27,9035,Tejay Van Garderen,United States,BMC Racing Team,29
17,28,9086,Gorka Izagirre,Spain,Bahrain-Merida,30
17,29,9137,Guillaume Martin,France,Wanty-Groupe Gobert,25
17,30,9137,Pierre Rolland,France,EF Education First-Drapac p/b Cannondale,31
17,31,9137,Bauke Mollema,Netherlands,Trek-Segafredo,31
17,32,9137,Arthur Vichot,France,Groupama-FDJ,29
17,33,9177,Omar Fraile,Spain,Astana,27
17,34,9186,Simon Geschke,Germany,Team Sunweb,32
17,35,9229,Jesús Herrada,Spain,Cofidis,27
17,36,9292,Domenico Pozzovivo,Italy,Bahrain-Merida,35
17,37,9292,Thomas Degand,Belgium,Wanty-Groupe Gobert,32
17,38,9300,Jonathan Castroviejo,Spain,Team Sky,31
17,39,9300,Ion Izagirre,Spain,Bahrain-Merida,29
17,40,9300,Daniel Navarro,Spain,Cofidis,34
17,41,9300,Gregor Mühlberger,Austria,Bora-Hansgrohe,24
17,42,9300,Adam Yates,Great Britain,Mitchelton-Scott,25
17,43,9300,Pavel Kochetkov,Russia,Team Katusha-Alpecin,32
17,44,9300,Darwin Atapuma,Colombia,UAE Team Emirates,30
17,45,9300,Romain Sicard,France,Direct Énergie,30
17,46,9323,Julien Bernard,France,Trek-Segafredo,26
17,47,9332,Julian Alaphilippe,France,Quick-Step Floors,26
17,48,9370,Tobias Ludvigsson,Sweden,Groupama-FDJ,27
17,49,9378,Sylvain Chavanel,France,Direct Énergie,39
17,50,9394,Nikias Arndt,Germany,Team Sunweb,26
17,51,9411,Yoann Offredo,France,Wanty-Groupe Gobert,31
17,52,9451,Marco Minnaard,Netherlands,Wanty-Groupe Gobert,29
17,53,9453,Rudy Molard,France,Groupama-FDJ,28
17,54,9460,Robert Gesink,Netherlands,LottoNL-Jumbo,32
17,55,9463,Lilian Calmejane,France,Direct Énergie,25
17,56,9468,Anthony Perez,France,Cofidis,27
17,57,9560,Mikel Nieve,Spain,Mitchelton-Scott,34
17,58,9617,Laurens Ten Dam,Netherlands,Team Sunweb,37
17,59,9657,Michal Kwiatkowski,Poland,Team Sky,28
17,60,9657,Marc Soler,Spain,Movistar Team,24
17,61,9657,Maxime Bouet,France,Fortuneo-Samsic,31
17,62,9657,Kevin Ledanois,France,Fortuneo-Samsic,24
17,63,9664,Oliver Naesen,Belgium,AG2R La Mondiale,27
17,64,9664,Jasper Stuyven,Belgium,Trek-Segafredo,26
17,65,9664,Stefan Küng,Switzerland,BMC Racing Team,24
17,66,9664,Mathias Frank,Switzerland,AG2R La Mondiale,31
17,67,9664,Julien Vermote,Belgium,Team Dimension Data,28
17,68,9664,Michael Valgren,Denmark,Astana,26
17,69,9664,Chad Haga,United States,Team Sunweb,29
17,70,9664,Rory Sutherland,Australia,UAE Team Emirates,36
17,71,9664,Greg Van Avermaet,Belgium,BMC Racing Team,33
17,72,9664,Guillaume Van Keirsbulck,Belgium,Wanty-Groupe Gobert,27
17,73,9664,Damiano Caruso,Italy,BMC Racing Team,30
17,74,9664,Michael Schär,Switzerland,BMC Racing Team,31
17,75,9664,Paul Martens,Germany,LottoNL-Jumbo,34
17,76,9664,Ian Boswell,United States,Team Katusha-Alpecin,27
17,77,9664,Imanol Erviti,Spain,Movistar Team,34
